nom_img_B;numech_B;nom_img_T;numech_T;ecart_numech;distance_features
2025_Conforme_1_Cam_B_1_288.jpg;288;2025_Conforme_1_Cam_T_1_234.jpg;234;-54;0.3129
2025_Conforme_1_Cam_B_1_289.jpg;289;2025_Conforme_1_Cam_T_1_296.jpg;296;7;0.2847
2025_Conforme_1_Cam_B_1_290.jpg;290;2025_Conforme_1_Cam_T_1_264.jpg;264;-26;0.2436
2025_Conforme_1_Cam_B_1_291.jpg;291;2025_Conforme_1_Cam_T_1_332.jpg;332;41;0.2072
2025_Conforme_1_Cam_B_1_295.jpg;295;2025_Conforme_1_Cam_T_1_259.jpg;259;-36;0.1835
2025_Conforme_1_Cam_B_1_296.jpg;296;2025_Conforme_1_Cam_T_1_344.jpg;344;48;0.1114
2025_Conforme_1_Cam_B_1_297.jpg;297;2025_Conforme_1_Cam_T_1_287.jpg;287;-10;0.2123
2025_Conforme_1_Cam_B_1_298.jpg;298;2025_Conforme_1_Cam_T_1_256.jpg;256;-42;0.0701
2025_Conforme_1_Cam_B_1_300.jpg;300;2025_Conforme_1_Cam_T_1_240.jpg;240;-60;0.2449
2025_Conforme_1_Cam_B_1_301.jpg;301;2025_Conforme_1_Cam_T_1_325.jpg;325;24;0.2056
2025_Conforme_1_Cam_B_1_302.jpg;302;2025_Conforme_1_Cam_T_1_333.jpg;333;31;0.1463
2025_Conforme_1_Cam_B_1_303.jpg;303;2025_Conforme_1_Cam_T_1_323.jpg;323;20;0.1132
2025_Conforme_1_Cam_B_1_304.jpg;304;2025_Conforme_1_Cam_T_1_249.jpg;249;-55;0.1436
2025_Conforme_1_Cam_B_1_305.jpg;305;2025_Conforme_1_Cam_T_1_349.jpg;349;44;0.3424
2025_Conforme_1_Cam_B_1_307.jpg;307;2025_Conforme_1_Cam_T_1_350.jpg;350;43;0.3321
2025_Conforme_1_Cam_B_1_308.jpg;308;2025_Conforme_1_Cam_T_1_238.jpg;238;-70;0.1489
2025_Conforme_1_Cam_B_1_309.jpg;309;2025_Conforme_1_Cam_T_1_266.jpg;266;-43;0.1918
2025_Conforme_1_Cam_B_1_310.jpg;310;2025_Conforme_1_Cam_T_1_273.jpg;273;-37;0.1796
2025_Conforme_1_Cam_B_1_311.jpg;311;2025_Conforme_1_Cam_T_1_258.jpg;258;-53;0.2941
2025_Conforme_1_Cam_B_1_312.jpg;312;2025_Conforme_1_Cam_T_1_366.jpg;366;54;0.2391
2025_Conforme_1_Cam_B_1_313.jpg;313;2025_Conforme_1_Cam_T_1_298.jpg;298;-15;0.1655
2025_Conforme_1_Cam_B_1_314.jpg;314;2025_Conforme_1_Cam_T_1_282.jpg;282;-32;0.1697
2025_Conforme_1_Cam_B_1_315.jpg;315;2025_Conforme_1_Cam_T_1_293.jpg;293;-22;0.2745
2025_Conforme_1_Cam_B_1_316.jpg;316;2025_Conforme_1_Cam_T_1_292.jpg;292;-24;0.2179
2025_Conforme_1_Cam_B_1_317.jpg;317;2025_Conforme_1_Cam_T_1_330.jpg;330;13;0.0916
2025_Conforme_1_Cam_B_1_318.jpg;318;2025_Conforme_1_Cam_T_1_286.jpg;286;-32;0.1567
2025_Conforme_1_Cam_B_1_319.jpg;319;2025_Conforme_1_Cam_T_1_283.jpg;283;-36;0.1833
2025_Conforme_1_Cam_B_1_320.jpg;320;2025_Conforme_1_Cam_T_1_274.jpg;274;-46;0.0935
2025_Conforme_1_Cam_B_1_322.jpg;322;2025_Conforme_1_Cam_T_1_261.jpg;261;-61;0.1272
2025_Conforme_1_Cam_B_1_324.jpg;324;2025_Conforme_1_Cam_T_1_280.jpg;280;-44;0.3572
2025_Conforme_1_Cam_B_1_325.jpg;325;2025_Conforme_1_Cam_T_1_253.jpg;253;-72;0.1961
2025_Conforme_1_Cam_B_1_327.jpg;327;2025_Conforme_1_Cam_T_1_289.jpg;289;-38;0.1238
2025_Conforme_1_Cam_B_1_330.jpg;330;2025_Conforme_1_Cam_T_1_346.jpg;346;16;0.2112
2025_Conforme_1_Cam_B_1_331.jpg;331;2025_Conforme_1_Cam_T_1_302.jpg;302;-29;0.0840
